Date,Open,High,Low,Close,GSR,Open_GOLD,High_GOLD,Low_GOLD,Close_GOLD,Open_SILVER,High_SILVER,Low_SILVER,Close_SILVER
2021-05-10,58250.87109375,59519.35546875,54071.45703125,55859.796875,66.86924538294471,1835.5999755859375,1845.5999755859375,1835.4000244140625,1837.5,27.709999084472656,27.915000915527344,27.3700008392334,27.479000091552734
2021-05-11,55847.2421875,56872.54296875,54608.65234375,56704.57421875,66.3810265669524,1837.199951171875,1838.0999755859375,1831.5999755859375,1835.9000244140625,27.28499984741211,27.68000030517578,27.280000686645508,27.656999588012695
2021-05-12,56714.53125,57939.36328125,49150.53515625,49150.53515625,66.93106809628738,1825.199951171875,1825.199951171875,1821.699951171875,1822.5999755859375,27.459999084472656,27.639999389648438,27.231000900268555,27.231000900268555
2021-05-13,49735.43359375,51330.84375,46980.01953125,49716.19140625,67.43824902522032,1814.699951171875,1826.800048828125,1814.0999755859375,1823.800048828125,27.1200008392334,27.145000457763672,26.854999542236328,27.04400062561035
2021-05-14,49682.98046875,51438.1171875,48868.578125,49880.53515625,67.19189783032387,1824.5,1842.9000244140625,1824.5,1837.9000244140625,27.030000686645508,27.5,27.030000686645508,27.35300064086914
2021-05-17,46415.8984375,46623.55859375,42207.2890625,43537.51171875,66.08280201255651,1849.9000244140625,1867.5,1847.199951171875,1867.5,28.260000228881836,28.329999923706055,28.260000228881836,28.260000228881836
2021-05-18,43488.05859375,45812.45703125,42367.83203125,42909.40234375,65.96736961162544,1870.5,1870.5,1867.800048828125,1867.800048828125,28.6299991607666,28.68000030517578,28.31399917602539,28.31399917602539
2021-05-19,42944.9765625,43546.1171875,30681.49609375,37002.44140625,67.17009739273173,1866.4000244140625,1884.9000244140625,1863.5999755859375,1881.300048828125,27.809999465942383,28.007999420166016,27.6200008392334,28.007999420166016
2021-05-20,36753.66796875,42462.984375,35050.6171875,40782.73828125,67.08256258938147,1865.5,1885.0,1864.800048828125,1881.800048828125,27.920000076293945,28.052000045776367,27.719999313354492,28.052000045776367
2021-05-21,40596.94921875,42172.171875,33616.453125,37304.69140625,68.31070434089311,1872.0999755859375,1876.699951171875,1872.0999755859375,1876.699951171875,28.079999923706055,28.1200008392334,27.389999389648438,27.472999572753906
2021-05-24,34700.36328125,39835.140625,34551.08203125,38705.98046875,67.57987716009616,1882.0999755859375,1884.5999755859375,1882.0999755859375,1884.5999755859375,27.885000228881836,27.899999618530273,27.739999771118164,27.886999130249023
2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,67.69982277583881,1882.5,1898.0999755859375,1882.5,1898.0999755859375,27.75,28.03700065612793,27.670000076293945,28.03700065612793
2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,68.26194683090331,1901.300048828125,1901.300048828125,1901.300048828125,1901.300048828125,27.85300064086914,27.85300064086914,27.85300064086914,27.85300064086914
2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,67.89999314778238,1896.800048828125,1903.9000244140625,1888.199951171875,1895.699951171875,27.7549991607666,27.920000076293945,27.69499969482422,27.91900062561035
